ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Order Date,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,State,Overall_Profit,Ship Date,City,Gender
5524,1957,Graduation,Single,58138,0,0,11/08/2016,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,Kentucky,41.9136,11/11/2016,Henderson,Female
2174,1954,Graduation,Single,46344,1,1,11/08/2016,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,Kentucky,219.582,11/11/2016,Henderson,Male
4141,1965,Graduation,Together,71613,0,0,06/12/2016,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,California,6.8714,6/16/2016,Los Angeles,Female
6182,1984,Graduation,Together,26646,1,0,10/11/2015,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,Florida,-383.031,10/18/2015,Fort Lauderdale,Male
5324,1981,PhD,Married,58293,1,0,10/11/2015,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,Florida,2.5164,10/18/2015,Fort Lauderdale,Female
7446,1967,Master,Together,62513,0,1,06/09/2014,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,California,14.1694,6/14/2014,Los Angeles,Male
965,1971,Graduation,Divorced,55635,0,1,06/09/2014,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,California,1.9656,6/14/2014,Los Angeles,Male
6177,1985,PhD,Married,33454,1,0,06/09/2014,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,California,90.7152,6/14/2014,Los Angeles,Female
4855,1974,PhD,Together,30351,1,0,06/09/2014,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,California,5.7825,6/14/2014,Los Angeles,Male
5899,1950,PhD,Together,5648,1,1,06/09/2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,California,34.47,6/14/2014,Los Angeles,Male
